a,b,c,n,v
2018-08-02,2018-08-03,2018-08-02,ch,5.3
2018-02-14,2018-02-15,2018-02-13,gf,5.3
2017-12-16,2017-12-17,2017-12-16,ch,5.3
2018-12-24,2018-12-25,2018-12-24,tw,5.3
2018-08-25,2018-08-26,2018-08-25,jp,5.3
2017-12-16,2017-12-17,2017-12-16,ch,5.3
2017-12-30,2017-12-31,2017-12-30,de,5.3
2018-08-02,2018-08-03,2018-08-01,gf,6.8
2018-12-22,2018-12-23,2018-12-22,br,10.6
2018-06-28,2018-06-29,2018-04-20,hk,10.6
2018-05-16,2018-05-17,2018-05-16,be,20
2017-12-26,2017-12-28,2017-12-26,gb,21.2
2018-06-14,2018-06-16,2018-06-15,ch,30.6
2018-10-20,2018-10-21,2018-10-20,ch,60.6
2018-01-20,2018-01-21,2018-01-20,no,61.5
2018-03-30,2018-03-31,2018-03-28,cn,74.6
2018-03-30,2018-03-31,2018-03-28,hk,74.6
2017-12-25,2017-12-26,2017-12-25,cn,75.3
2017-12-26,2017-12-27,2017-12-26,de,76.3
2017-12-22,2017-12-23,2017-12-22,gf,78.3
2018-02-25,2018-02-26,2018-02-25,ch,78.3
2017-12-29,2017-12-30,2017-12-29,ch,79.3
2017-12-29,2017-12-30,2017-12-29,kr,79.3
2018-02-04,2018-02-05,2018-02-03,ch,79.8
2018-04-02,2018-04-03,2018-04-02,gf,80
2018-03-08,2018-03-09,2018-03-05,de,80
2018-01-18,2018-01-19,2018-01-18,gf,80
2019-01-10,2019-01-11,2019-01-10,ch,80.3
2017-12-23,2017-12-24,2017-12-22,ch,80.3
2019-01-10,2019-01-11,2019-01-10,ch,80.3
2017-12-26,2017-12-27,2017-12-26,au,80.3
2018-03-30,2018-03-31,2018-03-28,cn,80.9
2018-04-08,2018-04-09,2018-04-08,gb,81
2018-04-01,2018-04-02,2018-04-01,ch,81
2018-02-18,2018-02-19,2018-02-19,gf,81.3
2018-01-14,2018-01-15,2018-01-08,de,82.3
2017-12-22,2017-12-23,2017-12-19,ch,82.3
2018-04-08,2018-04-09,2018-04-08,gf,82.3
2018-03-29,2018-03-30,2018-03-29,ch,82.3
2018-01-14,2018-01-15,2018-01-11,de,82.3
2018-03-17,2018-03-18,2018-03-18,gf,82.3
2018-03-18,2018-03-19,2018-03-18,gf,82.3
2018-01-14,2018-01-15,2018-01-14,ch,82.3
2018-01-14,2018-01-15,2018-01-13,gf,82.7
2017-12-22,2017-12-23,2017-12-17,ch,83.3
2017-12-25,2017-12-26,2017-12-21,ch,83.3
2017-12-26,2017-12-27,2017-12-11,cn,83.3
2017-12-26,2017-12-27,2017-12-23,es,83.3
2017-12-24,2017-12-25,2017-12-23,es,83.3
2018-01-07,2018-01-08,2018-01-05,kr,83.3
2018-01-26,2018-01-27,2018-01-26,cn,83.6
2018-04-23,2018-04-24,2018-04-19,be,83.7
2018-04-23,2018-04-24,2018-04-19,be,83.7
2018-02-11,2018-02-12,2018-02-07,ch,84.3
2018-01-26,2018-01-27,2018-01-26,sg,84.3
2018-02-03,2018-02-04,2018-02-03,de,84.3
2018-03-25,2018-03-26,2018-03-24,sg,84.3
2018-02-11,2018-02-12,2018-02-09,ch,84.3
2017-12-15,2017-12-16,2017-12-11,ch,84.3
2018-03-25,2018-03-26,2018-03-25,ch,84.3
2018-01-14,2018-01-15,2018-01-09,jp,84.3
2018-04-22,2018-04-23,2018-04-22,gf,85
2018-01-27,2018-01-28,2018-01-26,au,85
2018-02-23,2018-02-24,2018-02-22,ch,85.1
2018-01-14,2018-01-15,2018-01-15,gf,85.3
2018-03-30,2018-03-31,2018-03-30,de,85.3
2018-01-01,2018-01-02,2018-01-01,ch,85.3
2018-03-29,2018-03-30,2018-03-30,ch,85.3
2018-05-06,2018-05-07,2018-04-30,gf,85.3
2018-03-31,2018-04-01,2018-03-29,ch,85.3
2018-02-18,2018-02-19,2018-02-18,es,85.3
2018-04-07,2018-04-08,2018-04-07,ch,85.4
2018-03-02,2018-03-03,2018-03-02,ch,86.05
2018-04-07,2018-04-08,2018-04-01,ch,86.3
2018-01-05,2018-01-06,2018-01-05,ch,86.3
2018-03-31,2018-04-01,2018-03-10,cn,86.3
2018-04-07,2018-04-08,2018-04-07,ch,86.3
2018-01-06,2018-01-07,2018-01-05,cz,86.3
2018-04-29,2018-04-30,2018-04-25,hk,86.3
2018-03-18,2018-03-19,2018-03-18,ch,86.3
2017-12-17,2017-12-18,2017-12-17,ch,86.3
2018-01-14,2018-01-15,2018-01-09,ch,86.5
2018-10-19,2018-10-20,2018-03-03,de,87
2018-02-25,2018-02-26,2018-02-06,sg,87
2018-02-11,2018-02-12,2018-02-10,gf,87
2018-05-13,2018-05-14,2018-05-08,de,87
2018-01-06,2018-01-07,2018-01-06,fr,87.3
2017-12-22,2017-12-23,2017-12-16,ca,87.3
2017-12-28,2017-12-29,2017-12-27,es,87.3
2017-12-15,2017-12-16,2017-12-09,null,87.3
2017-12-15,2017-12-16,2017-12-11,ch,87.95
2018-01-21,2018-01-22,2018-01-17,at,88
2018-04-21,2018-04-22,2018-04-21,ch,88
2018-03-25,2018-03-26,2018-03-25,gf,88.3
2018-01-13,2018-01-14,2018-01-12,ca,88.3
2018-04-22,2018-04-23,2018-04-21,ch,88.3
2018-04-29,2018-04-30,2018-04-09,gb,88.3
2017-12-28,2017-12-29,2017-12-28,ch,88.3
2018-01-26,2018-01-27,2018-01-21,it,88.3
2017-12-15,2017-12-16,2017-12-11,gf,88.3
2018-01-27,2018-01-28,2018-01-27,ch,88.3
2018-01-19,2018-01-20,2018-01-11,ch,88.3
2018-01-28,2018-01-29,2018-01-27,it,88.3
2018-03-25,2018-03-26,2018-03-26,gf,88.3
2018-03-03,2018-03-04,2018-02-05,de,88.5
2018-05-05,2018-05-06,2018-02-05,de,88.5
2018-01-04,2018-01-05,2017-12-29,gf,89
2018-11-02,2018-11-03,2018-06-08,de,89
2018-02-23,2018-02-24,2018-02-21,de,89
2018-03-30,2018-03-31,2018-03-30,ch,89.3
2018-01-21,2018-01-22,2018-01-21,ch,89.3
2018-01-07,2018-01-08,2017-12-23,de,89.3
2017-12-27,2017-12-28,2017-12-09,ch,89.3
2018-02-04,2018-02-05,2018-02-01,ch,89.3
2017-12-23,2017-12-24,2017-12-20,de,89.3
2018-03-30,2018-03-31,2018-03-30,de,89.3
2018-01-13,2018-01-14,2018-01-04,de,89.3
2018-02-04,2018-02-05,2018-02-02,ch,89.3
2017-12-16,2017-12-17,2017-12-16,at,89.3
2018-01-13,2018-01-14,2018-01-04,de,89.3
2018-02-11,2018-02-12,2018-02-11,gf,89.3
2018-02-24,2018-02-25,2018-02-22,de,89.3
2018-05-13,2018-05-14,2018-05-13,it,89.5
2018-02-06,2018-02-07,2018-01-11,de,90
2018-02-15,2018-02-16,2018-01-11,de,90
2018-01-04,2018-01-05,2017-12-29,gf,90.15
2018-04-13,2018-04-14,2018-04-08,fr,90.3
2018-04-13,2018-04-14,2018-04-12,ch,90.3
2018-04-14,2018-04-15,2018-04-13,de,90.3
2018-05-06,2018-05-07,2018-05-06,ch,90.3
2017-12-17,2017-12-18,2017-12-17,at,90.3
2018-03-03,2018-03-04,2018-02-25,ch,90.3
2018-03-18,2018-03-19,2018-03-18,gf,90.3
2018-03-02,2018-03-03,2018-03-01,mk,90.3
2018-02-04,2018-02-05,2018-02-01,ch,90.3
2018-04-13,2018-04-14,2018-04-13,ch,90.3
2018-03-03,2018-03-04,2018-02-26,gb,90.3
2018-03-16,2018-03-17,2018-03-15,ch,90.5
2018-01-03,2018-01-04,2018-01-01,ch,91.3
2018-01-03,2018-01-04,2018-01-03,de,91.3
2018-01-02,2018-01-03,2017-12-31,si,91.3
2018-04-15,2018-04-16,2018-04-14,my,91.3
2018-02-03,2018-02-04,2018-02-03,gf,91.3
2018-03-09,2018-03-10,2018-03-09,us,91.3
2018-02-03,2018-02-04,2018-02-02,dk,91.3
2018-01-04,2018-01-05,2017-12-19,ch,91.3
2018-01-07,2018-01-08,2018-01-04,gb,91.3
2018-03-10,2018-03-11,2018-03-06,ch,91.3
2017-12-24,2017-12-25,2017-12-19,ch,91.3
